NYSOFA County Code,County Name,Year,Meal Units Served,Meal Type
52,Warren/Hamilton,1986,50408,Congregate Meals
52,Warren/Hamilton,1986,49249,Home Delivered Meals
53,Washington,1986,25646,Congregate Meals
53,Washington,1986,21150,Home Delivered Meals
54,Wayne,1986,31625,Congregate Meals
54,Wayne,1986,11329,Home Delivered Meals
55,Westchester,1986,355730,Congregate Meals
55,Westchester,1986,95666,Home Delivered Meals
56,Wyoming,1986,33319,Congregate Meals
56,Wyoming,1986,33034,Home Delivered Meals
57,Yates,1986,27054,Congregate Meals
57,Yates,1986,12839,Home Delivered Meals
60,New York City,1986,4458529,Congregate Meals
60,New York City,1986,1771565,Home Delivered Meals
62,Seneca Nation,1986,22144,Congregate Meals
62,Seneca Nation,1986,8598,Home Delivered Meals
63,St. Regis,1986,7672,Congregate Meals
63,St. Regis,1986,9169,Home Delivered Meals
1,Albany,1987,175892,Congregate Meals
1,Albany,1987,209778,Home Delivered Meals
2,Allegany,1987,20218,Congregate Meals
2,Allegany,1987,6665,Home Delivered Meals
3,Broome,1987,153328,Congregate Meals
3,Broome,1987,59894,Home Delivered Meals
4,Cattaraugus,1987,68937,Congregate Meals
4,Cattaraugus,1987,14583,Home Delivered Meals
5,Cayuga,1987,49483,Congregate Meals
5,Cayuga,1987,16070,Home Delivered Meals
6,Chautauqua,1987,84526,Congregate Meals
6,Chautauqua,1987,74539,Home Delivered Meals
7,Chemung,1987,65158,Congregate Meals
7,Chemung,1987,33130,Home Delivered Meals
8,Chenango,1987,42733,Congregate Meals
8,Chenango,1987,28157,Home Delivered Meals
9,Clinton,1987,49960,Congregate Meals
9,Clinton,1987,32234,Home Delivered Meals
10,Columbia,1987,40063,Congregate Meals
10,Columbia,1987,31673,Home Delivered Meals
11,Cortland,1987,55084,Congregate Meals
11,Cortland,1987,36357,Home Delivered Meals
12,Delaware,1987,28743,Congregate Meals
12,Delaware,1987,12856,Home Delivered Meals
13,Dutchess,1987,58777,Congregate Meals
13,Dutchess,1987,31974,Home Delivered Meals
14,Erie,1987,602968,Congregate Meals
14,Erie,1987,457630,Home Delivered Meals
15,Essex,1987,43049,Congregate Meals
15,Essex,1987,32733,Home Delivered Meals
16,Franklin,1987,87377,Congregate Meals
16,Franklin,1987,54468,Home Delivered Meals
17,Fulton,1987,21693,Congregate Meals
17,Fulton,1987,32389,Home Delivered Meals
18,Genesee,1987,35433,Congregate Meals
18,Genesee,1987,24842,Home Delivered Meals
19,Greene,1987,36606,Congregate Meals
19,Greene,1987,38422,Home Delivered Meals
21,Herkimer,1987,33626,Congregate Meals
21,Herkimer,1987,29411,Home Delivered Meals
22,Jefferson,1987,62936,Congregate Meals
22,Jefferson,1987,35279,Home Delivered Meals
23,Lewis,1987,36770,Congregate Meals
23,Lewis,1987,13509,Home Delivered Meals
24,Livingston,1987,24403,Congregate Meals
24,Livingston,1987,7495,Home Delivered Meals
25,Madison,1987,46320,Congregate Meals
25,Madison,1987,15934,Home Delivered Meals
26,Monroe,1987,268274,Congregate Meals
26,Monroe,1987,68371,Home Delivered Meals
27,Montgomery,1987,48377,Congregate Meals
27,Montgomery,1987,44555,Home Delivered Meals
28,Nassau,1987,310611,Congregate Meals
28,Nassau,1987,190710,Home Delivered Meals
29,Niagara,1987,170249,Congregate Meals
29,Niagara,1987,36463,Home Delivered Meals
30,Oneida,1987,195037,Congregate Meals
30,Oneida,1987,82670,Home Delivered Meals
31,Onondaga,1987,254735,Congregate Meals
31,Onondaga,1987,50544,Home Delivered Meals
32,Ontario,1987,49445,Congregate Meals
32,Ontario,1987,32764,Home Delivered Meals
33,Orange,1987,72054,Congregate Meals
33,Orange,1987,35739,Home Delivered Meals
34,Orleans,1987,25463,Congregate Meals
34,Orleans,1987,22547,Home Delivered Meals
35,Oswego,1987,43077,Congregate Meals
35,Oswego,1987,67738,Home Delivered Meals
36,Otsego,1987,52739,Congregate Meals
36,Otsego,1987,20161,Home Delivered Meals
37,Putnam,1987,34370,Congregate Meals
37,Putnam,1987,17866,Home Delivered Meals
38,Rensselaer,1987,62081,Congregate Meals
38,Rensselaer,1987,46597,Home Delivered Meals
39,Rockland,1987,82900,Congregate Meals
39,Rockland,1987,23671,Home Delivered Meals
40,St. Lawrence,1987,90436,Congregate Meals
40,St. Lawrence,1987,35079,Home Delivered Meals
41,Saratoga,1987,63160,Congregate Meals
41,Saratoga,1987,99820,Home Delivered Meals
42,Schenectady,1987,66470,Congregate Meals
42,Schenectady,1987,77964,Home Delivered Meals
43,Schoharie,1987,15454,Congregate Meals
43,Schoharie,1987,19546,Home Delivered Meals
44,Schuyler,1987,26036,Congregate Meals
44,Schuyler,1987,6765,Home Delivered Meals
45,Seneca,1987,32692,Congregate Meals
45,Seneca,1987,17711,Home Delivered Meals
46,Steuben,1987,63389,Congregate Meals
46,Steuben,1987,30117,Home Delivered Meals
47,Suffolk,1987,308636,Congregate Meals
47,Suffolk,1987,166913,Home Delivered Meals
48,Sullivan,1987,56884,Congregate Meals
48,Sullivan,1987,30516,Home Delivered Meals
49,Tioga,1987,23793,Congregate Meals
49,Tioga,1987,17827,Home Delivered Meals
50,Tompkins,1987,25898,Congregate Meals
50,Tompkins,1987,24533,Home Delivered Meals
51,Ulster,1987,32562,Congregate Meals
51,Ulster,1987,65874,Home Delivered Meals
52,Warren/Hamilton,1987,48162,Congregate Meals
52,Warren/Hamilton,1987,57077,Home Delivered Meals
53,Washington,1987,29003,Congregate Meals
53,Washington,1987,23268,Home Delivered Meals
54,Wayne,1987,30440,Congregate Meals
54,Wayne,1987,9326,Home Delivered Meals
55,Westchester,1987,347459,Congregate Meals
55,Westchester,1987,95287,Home Delivered Meals
56,Wyoming,1987,31250,Congregate Meals
56,Wyoming,1987,35215,Home Delivered Meals
57,Yates,1987,21336,Congregate Meals
57,Yates,1987,10976,Home Delivered Meals
60,New York City,1987,4369876,Congregate Meals
60,New York City,1987,1874344,Home Delivered Meals
62,Seneca Nation,1987,20777,Congregate Meals
62,Seneca Nation,1987,7726,Home Delivered Meals
63,St. Regis,1987,7580,Congregate Meals
63,St. Regis,1987,9991,Home Delivered Meals
1,Albany,1988,165307,Congregate Meals
1,Albany,1988,77664,Home Delivered Meals
2,Allegany,1988,23336,Congregate Meals
2,Allegany,1988,6949,Home Delivered Meals
3,Broome,1988,145201,Congregate Meals
3,Broome,1988,62647,Home Delivered Meals
4,Cattaraugus,1988,64860,Congregate Meals
4,Cattaraugus,1988,15254,Home Delivered Meals
5,Cayuga,1988,46648,Congregate Meals
5,Cayuga,1988,14089,Home Delivered Meals
6,Chautauqua,1988,82603,Congregate Meals
6,Chautauqua,1988,88455,Home Delivered Meals
7,Chemung,1988,57777,Congregate Meals
7,Chemung,1988,22302,Home Delivered Meals
8,Chenango,1988,42235,Congregate Meals
8,Chenango,1988,28566,Home Delivered Meals
9,Clinton,1988,49700,Congregate Meals
9,Clinton,1988,34446,Home Delivered Meals
10,Columbia,1988,37510,Congregate Meals
10,Columbia,1988,30441,Home Delivered Meals
11,Cortland,1988,57812,Congregate Meals
11,Cortland,1988,39832,Home Delivered Meals
12,Delaware,1988,28607,Congregate Meals
12,Delaware,1988,12090,Home Delivered Meals
13,Dutchess,1988,56116,Congregate Meals
13,Dutchess,1988,26338,Home Delivered Meals
14,Erie,1988,631112,Congregate Meals
14,Erie,1988,424142,Home Delivered Meals
15,Essex,1988,39946,Congregate Meals
15,Essex,1988,28835,Home Delivered Meals
16,Franklin,1988,82084,Congregate Meals
16,Franklin,1988,46848,Home Delivered Meals
17,Fulton,1988,23237,Congregate Meals
17,Fulton,1988,31576,Home Delivered Meals
18,Genesee,1988,33807,Congregate Meals
18,Genesee,1988,25907,Home Delivered Meals
19,Greene,1988,36287,Congregate Meals
19,Greene,1988,47424,Home Delivered Meals
21,Herkimer,1988,30386,Congregate Meals
21,Herkimer,1988,33312,Home Delivered Meals
22,Jefferson,1988,62139,Congregate Meals
22,Jefferson,1988,33966,Home Delivered Meals
23,Lewis,1988,35310,Congregate Meals
23,Lewis,1988,10530,Home Delivered Meals
24,Livingston,1988,23411,Congregate Meals
24,Livingston,1988,4208,Home Delivered Meals
25,Madison,1988,50334,Congregate Meals
25,Madison,1988,15267,Home Delivered Meals
26,Monroe,1988,267006,Congregate Meals
26,Monroe,1988,61245,Home Delivered Meals
27,Montgomery,1988,50228,Congregate Meals
27,Montgomery,1988,42195,Home Delivered Meals
28,Nassau,1988,292950,Congregate Meals
28,Nassau,1988,211013,Home Delivered Meals
29,Niagara,1988,191741,Congregate Meals
29,Niagara,1988,29588,Home Delivered Meals
30,Oneida,1988,176996,Congregate Meals
30,Oneida,1988,78951,Home Delivered Meals
31,Onondaga,1988,256497,Congregate Meals
31,Onondaga,1988,45974,Home Delivered Meals
32,Ontario,1988,46337,Congregate Meals
32,Ontario,1988,34083,Home Delivered Meals
33,Orange,1988,70941,Congregate Meals
33,Orange,1988,40645,Home Delivered Meals
34,Orleans,1988,24141,Congregate Meals
34,Orleans,1988,23661,Home Delivered Meals
35,Oswego,1988,45521,Congregate Meals
35,Oswego,1988,83939,Home Delivered Meals
36,Otsego,1988,53042,Congregate Meals
36,Otsego,1988,20447,Home Delivered Meals
37,Putnam,1988,33711,Congregate Meals
37,Putnam,1988,17361,Home Delivered Meals
38,Rensselaer,1988,63042,Congregate Meals
38,Rensselaer,1988,51135,Home Delivered Meals
39,Rockland,1988,77850,Congregate Meals
39,Rockland,1988,25606,Home Delivered Meals
40,St. Lawrence,1988,90215,Congregate Meals
40,St. Lawrence,1988,36715,Home Delivered Meals
41,Saratoga,1988,66505,Congregate Meals
41,Saratoga,1988,88220,Home Delivered Meals
42,Schenectady,1988,67012,Congregate Meals
42,Schenectady,1988,80856,Home Delivered Meals
43,Schoharie,1988,16869,Congregate Meals
43,Schoharie,1988,16632,Home Delivered Meals
44,Schuyler,1988,25921,Congregate Meals
44,Schuyler,1988,6462,Home Delivered Meals
45,Seneca,1988,32109,Congregate Meals
45,Seneca,1988,19330,Home Delivered Meals
46,Steuben,1988,58679,Congregate Meals
46,Steuben,1988,31352,Home Delivered Meals
47,Suffolk,1988,310017,Congregate Meals
47,Suffolk,1988,197565,Home Delivered Meals
48,Sullivan,1988,55627,Congregate Meals
48,Sullivan,1988,35500,Home Delivered Meals
49,Tioga,1988,21066,Congregate Meals
49,Tioga,1988,19077,Home Delivered Meals
50,Tompkins,1988,26308,Congregate Meals
50,Tompkins,1988,19981,Home Delivered Meals
51,Ulster,1988,32337,Congregate Meals
51,Ulster,1988,73769,Home Delivered Meals
52,Warren/Hamilton,1988,49410,Congregate Meals
52,Warren/Hamilton,1988,58526,Home Delivered Meals
53,Washington,1988,29489,Congregate Meals
53,Washington,1988,24288,Home Delivered Meals
54,Wayne,1988,29219,Congregate Meals
54,Wayne,1988,6507,Home Delivered Meals
55,Westchester,1988,347218,Congregate Meals
55,Westchester,1988,84783,Home Delivered Meals
56,Wyoming,1988,32664,Congregate Meals
56,Wyoming,1988,32337,Home Delivered Meals
57,Yates,1988,20010,Congregate Meals
57,Yates,1988,7403,Home Delivered Meals
60,New York City,1988,4364410,Congregate Meals
60,New York City,1988,1671655,Home Delivered Meals
62,Seneca Nation,1988,20304,Congregate Meals
62,Seneca Nation,1988,7611,Home Delivered Meals
63,St. Regis,1988,7495,Congregate Meals
63,St. Regis,1988,8616,Home Delivered Meals
1,Albany,1989,164445,Congregate Meals
1,Albany,1989,53106,Home Delivered Meals
2,Allegany,1989,25697,Congregate Meals
2,Allegany,1989,5383,Home Delivered Meals
3,Broome,1989,138229,Congregate Meals
3,Broome,1989,48374,Home Delivered Meals
4,Cattaraugus,1989,63534,Congregate Meals
4,Cattaraugus,1989,17639,Home Delivered Meals
5,Cayuga,1989,46528,Congregate Meals
5,Cayuga,1989,11542,Home Delivered Meals
6,Chautauqua,1989,81822,Congregate Meals
6,Chautauqua,1989,89283,Home Delivered Meals
7,Chemung,1989,50526,Congregate Meals
7,Chemung,1989,24101,Home Delivered Meals
8,Chenango,1989,42772,Congregate Meals
8,Chenango,1989,29770,Home Delivered Meals
9,Clinton,1989,48787,Congregate Meals
9,Clinton,1989,39445,Home Delivered Meals
10,Columbia,1989,33992,Congregate Meals
10,Columbia,1989,32248,Home Delivered Meals
11,Cortland,1989,54497,Congregate Meals
11,Cortland,1989,36431,Home Delivered Meals
12,Delaware,1989,28760,Congregate Meals
12,Delaware,1989,13559,Home Delivered Meals
13,Dutchess,1989,54626,Congregate Meals
13,Dutchess,1989,21504,Home Delivered Meals
14,Erie,1989,606796,Congregate Meals
14,Erie,1989,402721,Home Delivered Meals
15,Essex,1989,44453,Congregate Meals
15,Essex,1989,10184,Home Delivered Meals
16,Franklin,1989,81917,Congregate Meals
16,Franklin,1989,46392,Home Delivered Meals
17,Fulton,1989,23325,Congregate Meals
17,Fulton,1989,31827,Home Delivered Meals
18,Genesee,1989,28760,Congregate Meals
18,Genesee,1989,17680,Home Delivered Meals
19,Greene,1989,32737,Congregate Meals
19,Greene,1989,52999,Home Delivered Meals
21,Herkimer,1989,29157,Congregate Meals
21,Herkimer,1989,29706,Home Delivered Meals
22,Jefferson,1989,59295,Congregate Meals
22,Jefferson,1989,46291,Home Delivered Meals
23,Lewis,1989,37098,Congregate Meals
23,Lewis,1989,10738,Home Delivered Meals
24,Livingston,1989,20504,Congregate Meals
24,Livingston,1989,4569,Home Delivered Meals
25,Madison,1989,53533,Congregate Meals
25,Madison,1989,16605,Home Delivered Meals
26,Monroe,1989,257141,Congregate Meals
26,Monroe,1989,56022,Home Delivered Meals
27,Montgomery,1989,46903,Congregate Meals
27,Montgomery,1989,44946,Home Delivered Meals
28,Nassau,1989,281264,Congregate Meals
28,Nassau,1989,228303,Home Delivered Meals
29,Niagara,1989,187582,Congregate Meals
29,Niagara,1989,29455,Home Delivered Meals
30,Oneida,1989,160933,Congregate Meals
30,Oneida,1989,78861,Home Delivered Meals
31,Onondaga,1989,268950,Congregate Meals
31,Onondaga,1989,53033,Home Delivered Meals
32,Ontario,1989,42049,Congregate Meals
32,Ontario,1989,35398,Home Delivered Meals
33,Orange,1989,72421,Congregate Meals
33,Orange,1989,42014,Home Delivered Meals
34,Orleans,1989,22947,Congregate Meals
34,Orleans,1989,24088,Home Delivered Meals
35,Oswego,1989,42536,Congregate Meals
35,Oswego,1989,101674,Home Delivered Meals
36,Otsego,1989,51703,Congregate Meals
36,Otsego,1989,20870,Home Delivered Meals
37,Putnam,1989,33961,Congregate Meals
37,Putnam,1989,15185,Home Delivered Meals
38,Rensselaer,1989,60227,Congregate Meals
38,Rensselaer,1989,56630,Home Delivered Meals
39,Rockland,1989,100118,Congregate Meals
39,Rockland,1989,25982,Home Delivered Meals
40,St. Lawrence,1989,82217,Congregate Meals
40,St. Lawrence,1989,32600,Home Delivered Meals
41,Saratoga,1989,62565,Congregate Meals
41,Saratoga,1989,88003,Home Delivered Meals
42,Schenectady,1989,60315,Congregate Meals
42,Schenectady,1989,81476,Home Delivered Meals
43,Schoharie,1989,19666,Congregate Meals
43,Schoharie,1989,16913,Home Delivered Meals
44,Schuyler,1989,24022,Congregate Meals
44,Schuyler,1989,6666,Home Delivered Meals
45,Seneca,1989,31658,Congregate Meals
45,Seneca,1989,20042,Home Delivered Meals
46,Steuben,1989,51777,Congregate Meals
46,Steuben,1989,28807,Home Delivered Meals
47,Suffolk,1989,306738,Congregate Meals
47,Suffolk,1989,208666,Home Delivered Meals
48,Sullivan,1989,56547,Congregate Meals
48,Sullivan,1989,40077,Home Delivered Meals
49,Tioga,1989,20286,Congregate Meals
49,Tioga,1989,17978,Home Delivered Meals
50,Tompkins,1989,27597,Congregate Meals
50,Tompkins,1989,22197,Home Delivered Meals
51,Ulster,1989,30695,Congregate Meals
51,Ulster,1989,58556,Home Delivered Meals
52,Warren/Hamilton,1989,49697,Congregate Meals
52,Warren/Hamilton,1989,67514,Home Delivered Meals
53,Washington,1989,27328,Congregate Meals
53,Washington,1989,25678,Home Delivered Meals
54,Wayne,1989,26000,Congregate Meals
54,Wayne,1989,10177,Home Delivered Meals
55,Westchester,1989,324612,Congregate Meals
55,Westchester,1989,69399,Home Delivered Meals
56,Wyoming,1989,32556,Congregate Meals
56,Wyoming,1989,36722,Home Delivered Meals
57,Yates,1989,19720,Congregate Meals
57,Yates,1989,7181,Home Delivered Meals
60,New York City,1989,4420156,Congregate Meals
60,New York City,1989,1319818,Home Delivered Meals
62,Seneca Nation,1989,20833,Congregate Meals
62,Seneca Nation,1989,6572,Home Delivered Meals
63,St. Regis,1989,7521,Congregate Meals
63,St. Regis,1989,9474,Home Delivered Meals
1,Albany,1990,163568,Congregate Meals
1,Albany,1990,209642,Home Delivered Meals
2,Allegany,1990,27096,Congregate Meals
2,Allegany,1990,26816,Home Delivered Meals
3,Broome,1990,130183,Congregate Meals
3,Broome,1990,97327,Home Delivered Meals
4,Cattaraugus,1990,90639,Congregate Meals
4,Cattaraugus,1990,65798,Home Delivered Meals
5,Cayuga,1990,40963,Congregate Meals
5,Cayuga,1990,57390,Home Delivered Meals
6,Chautauqua,1990,79481,Congregate Meals
6,Chautauqua,1990,136421,Home Delivered Meals
7,Chemung,1990,47791,Congregate Meals
7,Chemung,1990,59684,Home Delivered Meals
8,Chenango,1990,44758,Congregate Meals
8,Chenango,1990,43581,Home Delivered Meals
9,Clinton,1990,43179,Congregate Meals
9,Clinton,1990,88291,Home Delivered Meals
10,Columbia,1990,34564,Congregate Meals
10,Columbia,1990,56783,Home Delivered Meals
11,Cortland,1990,58850,Congregate Meals
11,Cortland,1990,54944,Home Delivered Meals
12,Delaware,1990,35921,Congregate Meals
12,Delaware,1990,27282,Home Delivered Meals
13,Dutchess,1990,56484,Congregate Meals
13,Dutchess,1990,57687,Home Delivered Meals
14,Erie,1990,576376,Congregate Meals
14,Erie,1990,635448,Home Delivered Meals
15,Essex,1990,40630,Congregate Meals
15,Essex,1990,85329,Home Delivered Meals
16,Franklin,1990,69278,Congregate Meals
16,Franklin,1990,61855,Home Delivered Meals
17,Fulton,1990,25040,Congregate Meals
17,Fulton,1990,68178,Home Delivered Meals
18,Genesee,1990,29551,Congregate Meals
18,Genesee,1990,56343,Home Delivered Meals
19,Greene,1990,34719,Congregate Meals
19,Greene,1990,87170,Home Delivered Meals
21,Herkimer,1990,33700,Congregate Meals
21,Herkimer,1990,48119,Home Delivered Meals
22,Jefferson,1990,50815,Congregate Meals
22,Jefferson,1990,72727,Home Delivered Meals
23,Lewis,1990,37487,Congregate Meals
23,Lewis,1990,22300,Home Delivered Meals
24,Livingston,1990,20507,Congregate Meals
24,Livingston,1990,17529,Home Delivered Meals
25,Madison,1990,47176,Congregate Meals
25,Madison,1990,50866,Home Delivered Meals
26,Monroe,1990,262524,Congregate Meals
26,Monroe,1990,108095,Home Delivered Meals
27,Montgomery,1990,48629,Congregate Meals
27,Montgomery,1990,90820,Home Delivered Meals
28,Nassau,1990,302939,Congregate Meals
28,Nassau,1990,294466,Home Delivered Meals
29,Niagara,1990,185221,Congregate Meals
29,Niagara,1990,80366,Home Delivered Meals
30,Oneida,1990,142241,Congregate Meals
30,Oneida,1990,251357,Home Delivered Meals
31,Onondaga,1990,266638,Congregate Meals
31,Onondaga,1990,124563,Home Delivered Meals
32,Ontario,1990,48329,Congregate Meals
32,Ontario,1990,49304,Home Delivered Meals
33,Orange,1990,67137,Congregate Meals
33,Orange,1990,87794,Home Delivered Meals
34,Orleans,1990,23684,Congregate Meals
34,Orleans,1990,43415,Home Delivered Meals
35,Oswego,1990,44600,Congregate Meals
35,Oswego,1990,141520,Home Delivered Meals
36,Otsego,1990,49125,Congregate Meals
36,Otsego,1990,37893,Home Delivered Meals
37,Putnam,1990,36724,Congregate Meals
37,Putnam,1990,20141,Home Delivered Meals
38,Rensselaer,1990,61679,Congregate Meals
38,Rensselaer,1990,77889,Home Delivered Meals
39,Rockland,1990,100037,Congregate Meals
39,Rockland,1990,110962,Home Delivered Meals
40,St. Lawrence,1990,82166,Congregate Meals
40,St. Lawrence,1990,74508,Home Delivered Meals
41,Saratoga,1990,57469,Congregate Meals
41,Saratoga,1990,90839,Home Delivered Meals
42,Schenectady,1990,71260,Congregate Meals
42,Schenectady,1990,135719,Home Delivered Meals
43,Schoharie,1990,14779,Congregate Meals
43,Schoharie,1990,27840,Home Delivered Meals
44,Schuyler,1990,22907,Congregate Meals
44,Schuyler,1990,18878,Home Delivered Meals
45,Seneca,1990,32189,Congregate Meals
45,Seneca,1990,31273,Home Delivered Meals
46,Steuben,1990,49456,Congregate Meals
46,Steuben,1990,72655,Home Delivered Meals
47,Suffolk,1990,339615,Congregate Meals
47,Suffolk,1990,247049,Home Delivered Meals
48,Sullivan,1990,54715,Congregate Meals
48,Sullivan,1990,80803,Home Delivered Meals
49,Tioga,1990,18584,Congregate Meals
49,Tioga,1990,30579,Home Delivered Meals
50,Tompkins,1990,28216,Congregate Meals
50,Tompkins,1990,46058,Home Delivered Meals
51,Ulster,1990,30271,Congregate Meals
51,Ulster,1990,67515,Home Delivered Meals
52,Warren/Hamilton,1990,55263,Congregate Meals
52,Warren/Hamilton,1990,115946,Home Delivered Meals
53,Washington,1990,25833,Congregate Meals
53,Washington,1990,63121,Home Delivered Meals
54,Wayne,1990,26310,Congregate Meals
54,Wayne,1990,28702,Home Delivered Meals
55,Westchester,1990,328956,Congregate Meals
55,Westchester,1990,149779,Home Delivered Meals
56,Wyoming,1990,30173,Congregate Meals
56,Wyoming,1990,44565,Home Delivered Meals
57,Yates,1990,21544,Congregate Meals
57,Yates,1990,23664,Home Delivered Meals
60,New York City,1990,8596745,Congregate Meals
60,New York City,1990,3504543,Home Delivered Meals
62,Seneca Nation,1990,19563,Congregate Meals
62,Seneca Nation,1990,11181,Home Delivered Meals
63,St. Regis,1990,7340,Congregate Meals
63,St. Regis,1990,16294,Home Delivered Meals
1,Albany,1991,167368,Congregate Meals
1,Albany,1991,255237,Home Delivered Meals
2,Allegany,1991,25283,Congregate Meals
2,Allegany,1991,42773,Home Delivered Meals
3,Broome,1991,129651,Congregate Meals
3,Broome,1991,133834,Home Delivered Meals
4,Cattaraugus,1991,101415,Congregate Meals
4,Cattaraugus,1991,79411,Home Delivered Meals
5,Cayuga,1991,38118,Congregate Meals
5,Cayuga,1991,75858,Home Delivered Meals
6,Chautauqua,1991,75593,Congregate Meals
6,Chautauqua,1991,157242,Home Delivered Meals
7,Chemung,1991,47839,Congregate Meals
7,Chemung,1991,75552,Home Delivered Meals
8,Chenango,1991,41858,Congregate Meals
8,Chenango,1991,49603,Home Delivered Meals
9,Clinton,1991,36347,Congregate Meals
9,Clinton,1991,106781,Home Delivered Meals
10,Columbia,1991,30424,Congregate Meals
10,Columbia,1991,63909,Home Delivered Meals
11,Cortland,1991,60305,Congregate Meals
11,Cortland,1991,66798,Home Delivered Meals
12,Delaware,1991,37907,Congregate Meals
12,Delaware,1991,35320,Home Delivered Meals
13,Dutchess,1991,53089,Congregate Meals
13,Dutchess,1991,68486,Home Delivered Meals
14,Erie,1991,588540,Congregate Meals
14,Erie,1991,714205,Home Delivered Meals
15,Essex,1991,41611,Congregate Meals
15,Essex,1991,116027,Home Delivered Meals
16,Franklin,1991,66506,Congregate Meals
16,Franklin,1991,63115,Home Delivered Meals
17,Fulton,1991,23979,Congregate Meals
17,Fulton,1991,74602,Home Delivered Meals
18,Genesee,1991,28173,Congregate Meals
18,Genesee,1991,74360,Home Delivered Meals
19,Greene,1991,36552,Congregate Meals
19,Greene,1991,91134,Home Delivered Meals
21,Herkimer,1991,37273,Congregate Meals
21,Herkimer,1991,47049,Home Delivered Meals
22,Jefferson,1991,51166,Congregate Meals
22,Jefferson,1991,87576,Home Delivered Meals
23,Lewis,1991,35887,Congregate Meals
23,Lewis,1991,26702,Home Delivered Meals
24,Livingston,1991,17431,Congregate Meals
24,Livingston,1991,25961,Home Delivered Meals
25,Madison,1991,49311,Congregate Meals
25,Madison,1991,55059,Home Delivered Meals
26,Monroe,1991,254544,Congregate Meals
26,Monroe,1991,145468,Home Delivered Meals
27,Montgomery,1991,49187,Congregate Meals
27,Montgomery,1991,117673,Home Delivered Meals
28,Nassau,1991,293142,Congregate Meals
28,Nassau,1991,317039,Home Delivered Meals
29,Niagara,1991,182283,Congregate Meals
29,Niagara,1991,83570,Home Delivered Meals
30,Oneida,1991,146448,Congregate Meals
30,Oneida,1991,304033,Home Delivered Meals
31,Onondaga,1991,273649,Congregate Meals
31,Onondaga,1991,163191,Home Delivered Meals
32,Ontario,1991,32890,Congregate Meals
32,Ontario,1991,63309,Home Delivered Meals
33,Orange,1991,65634,Congregate Meals
33,Orange,1991,117535,Home Delivered Meals
34,Orleans,1991,22544,Congregate Meals
34,Orleans,1991,47308,Home Delivered Meals
35,Oswego,1991,46119,Congregate Meals
35,Oswego,1991,168496,Home Delivered Meals
36,Otsego,1991,49912,Congregate Meals
36,Otsego,1991,56852,Home Delivered Meals
37,Putnam,1991,41996,Congregate Meals
37,Putnam,1991,21369,Home Delivered Meals
38,Rensselaer,1991,57992,Congregate Meals
38,Rensselaer,1991,89080,Home Delivered Meals
39,Rockland,1991,96460,Congregate Meals
39,Rockland,1991,169887,Home Delivered Meals
40,St. Lawrence,1991,77822,Congregate Meals
40,St. Lawrence,1991,86678,Home Delivered Meals
41,Saratoga,1991,61211,Congregate Meals
41,Saratoga,1991,108536,Home Delivered Meals
42,Schenectady,1991,68364,Congregate Meals
42,Schenectady,1991,152637,Home Delivered Meals
43,Schoharie,1991,16014,Congregate Meals
43,Schoharie,1991,29997,Home Delivered Meals
44,Schuyler,1991,21744,Congregate Meals
44,Schuyler,1991,23582,Home Delivered Meals
45,Seneca,1991,28835,Congregate Meals
45,Seneca,1991,32031,Home Delivered Meals
46,Steuben,1991,48285,Congregate Meals
46,Steuben,1991,93322,Home Delivered Meals
47,Suffolk,1991,338367,Congregate Meals
47,Suffolk,1991,257742,Home Delivered Meals
48,Sullivan,1991,37247,Congregate Meals
48,Sullivan,1991,80795,Home Delivered Meals
49,Tioga,1991,19460,Congregate Meals
49,Tioga,1991,36514,Home Delivered Meals
50,Tompkins,1991,27814,Congregate Meals
50,Tompkins,1991,55488,Home Delivered Meals
51,Ulster,1991,33868,Congregate Meals
51,Ulster,1991,78239,Home Delivered Meals
52,Warren/Hamilton,1991,59509,Congregate Meals
52,Warren/Hamilton,1991,128872,Home Delivered Meals
53,Washington,1991,27887,Congregate Meals
53,Washington,1991,81718,Home Delivered Meals
54,Wayne,1991,23461,Congregate Meals
54,Wayne,1991,30021,Home Delivered Meals
55,Westchester,1991,338526,Congregate Meals
55,Westchester,1991,188960,Home Delivered Meals
56,Wyoming,1991,25801,Congregate Meals
56,Wyoming,1991,44192,Home Delivered Meals
57,Yates,1991,21078,Congregate Meals
57,Yates,1991,24328,Home Delivered Meals
60,New York City,1991,9849497,Congregate Meals
60,New York City,1991,4304084,Home Delivered Meals
62,Seneca Nation,1991,17166,Congregate Meals
62,Seneca Nation,1991,12248,Home Delivered Meals
63,St. Regis,1991,7447,Congregate Meals
63,St. Regis,1991,18818,Home Delivered Meals
1,Albany,1992,166945,Congregate Meals
1,Albany,1992,261908,Home Delivered Meals
2,Allegany,1992,25242,Congregate Meals
2,Allegany,1992,53454,Home Delivered Meals
3,Broome,1992,131153,Congregate Meals
3,Broome,1992,104193,Home Delivered Meals
4,Cattaraugus,1992,96538,Congregate Meals
4,Cattaraugus,1992,85803,Home Delivered Meals
5,Cayuga,1992,38879,Congregate Meals
5,Cayuga,1992,76034,Home Delivered Meals
6,Chautauqua,1992,75678,Congregate Meals
6,Chautauqua,1992,155732,Home Delivered Meals
7,Chemung,1992,47864,Congregate Meals
7,Chemung,1992,65922,Home Delivered Meals
8,Chenango,1992,41545,Congregate Meals
